card_on_file_id,is_initial_transaction,transaction_type,card_on_file_initiator,future_use
FIRSTUCOF-CIT,True,UNSCHEDULED_CARD_ON_FILE,,CARDHOLDER_INITIATED
FIRSTUCOF-MIT,True,UNSCHEDULED_CARD_ON_FILE,,MERCHANT_INITIATED
SUBSEQUENTUCOF-CIT,False,UNSCHEDULED_CARD_ON_FILE,CARDHOLDER,
SUBSEQUENTUCOF-MIT,False,UNSCHEDULED_CARD_ON_FILE,MERCHANT,
FIRSTFIXEDRECURRING,True,RECURRING_FIXED,,MERCHANT_INITIATED
SUBSEQUENTFIXEDRECURRING,False,RECURRING_FIXED,MERCHANT,
FIRSTVARRECURRING,True,RECURRING_VARIABLE,,MERCHANT_INITIATED
SUBSEQUENTVARRECURRING,False,RECURRING_VARIABLE,MERCHANT,
FIRSTMERCHANTINSTALLMENT,True,MERCHANT_INSTALLMENT,,MERCHANT_INITIATED
SUBSEQUENTMERCHANTINSTALLMENT,False,MERCHANT_INSTALLMENT,MERCHANT,
RESUBMISSION,False,RESUBMISSION,MERCHANT,
DELAYEDCHARGE,False,RESUBMISSION,MERCHANT,
REAUTHORIZATION,False,RESUBMISSION,MERCHANT,
NOSHOW,False,RESUBMISSION,MERCHANT,
